;geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI;lat;lon
228;POINT (24.66794887696964 60.24110855728779);69d667cc-b05d-46a7-b7c4-e8bd814b97d6;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;3;1;4;4;4;4;4;4;4;4;3;4;4;4;1;0;250.000 - 500.000;4;> 50K;6;Espoo;Municipality (city/town);0.671629128491108;1;1;1;2;1;3;1;1;3;1;2;3;1;2;2;1;1;3;3;2;2;1;2;2;2;2;2;2;1;2;3;2;1;1;1;1;1;2;4;2;1;1;1;1;1;1;1;1;2;1;2;4;1;60.24110855728779;24.66794887696964
229;POINT (16.588597770281993 49.20678980207693);bd64a9aa-0350-48ae-9fdf-037380039b79;4;3;3;4;2;4;3;4;4;3;3;3;3;3;3;4;4;4;4;1;4;3;3;4;2;2;4;1;4;4;1;250.000 - 500.000;4;10K-20K;2;Brno;Municipality (city/town);0.518951061692484;4;3;1;3;1;1;1;1;1;1;2;1;3;2;3;4;3;3;2;4;3;4;4;4;4;4;4;4;4;4;2;3;4;3;3;3;3;4;3;1;3;4;4;2;2;4;4;3;3;3;4;3;4;49.20678980207693;16.588597770281993
230;POINT (5.351651987148985 51.716711473596035);72fc0127-675a-4976-993c-f9a43c659bae;4;4;3;4;4;4;4;4;4;4;4;4;3;3;4;3;2;3;4;3;4;4;4;4;4;3;4;3;4;1;0;100.000 - 250.000;3;40K-50K;5;s-Hertogenbosch;Municipality (city/town);0.627580575237898;1;1;1;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;3;3;3;2;3;2;2;3;3;3;2;3;2;3;3;3;4;4;3;3;3;4;3;2;4;2;4;4;4;4;4;3;4;3;4;51.716711473596035;5.351651987148985
231;POINT (3.133219852862716 50.93706043781817);86577e85-4954-4ea8-81ac-e4e9eef5f511;1;1;1;2;1;2;2;3;2;3;3;4;3;2;3;2;1;2;3;3;4;4;4;4;2;2;4;1;4;1;0;50.000 - 100.000;2;40K-50K;5;Roeselare;Municipality (city/town);0.400465977695144;3;3;3;1;1;1;1;1;1;1;1;1;3;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;1;2;1;4;1;1;1;4;4;1;3;2;4;1;1;1;4;2;2;1;3;4;2;50.93706043781817;3.133219852862716
232;POINT (4.308066972270901 51.92582673969685);d8d78754-d851-499d-af44-a64d4b47ae6b;3;3;2;4;2;3;4;3;2;4;4;4;3;4;4;4;4;4;4;3;2;4;2;1;4;4;4;2;3;4;0; > 1.000.000;6;40K-50K;5;Rotterdam;Municipality (city/town);0.510273789635156;2;1;3;3;3;4;4;4;4;3;3;3;1;2;2;2;3;3;2;2;2;2;3;3;3;3;3;3;2;3;1;2;4;3;3;3;2;1;3;4;2;3;1;1;1;4;2;3;3;2;1;2;2;51.92582673969685;4.308066972270901
233;POINT (16.922751066397794 52.40651440360357);5d2a9cff-7665-4569-8e52-1a340eb03c33;3;3;2;4;3;3;2;4;3;4;3;4;2;3;4;4;3;4;3;4;4;3;3;4;4;4;3;4;3;4;1;500.000 - 1.000.000;5;20K-30K;3;Poznan;Municipality (city/town);0.500800936570237;2;4;2;3;3;3;1;1;3;1;3;3;1;2;3;2;3;3;4;4;3;4;3;4;3;3;4;2;4;4;1;1;2;1;1;1;4;4;4;2;2;4;3;2;1;3;1;2;3;4;4;4;3;52.40651440360357;16.922751066397794
234;POINT (24.39280516565987 40.93782256401774);eff5af73-5e6a-41b3-a28d-bd4015f58cb4;2;3;3;2;3;1;1;1;2;3;4;4;3;4;2;1;1;2;3;3;2;3;1;3;4;4;4;3;2;1;1;50.000 - 100.000;2;30K-40K;4;Kavala;Municipality (city/town);0.418046750317583;3;2;2;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;3;2;2;3;2;3;4;4;3;1;1;1;1;3;4;3;3;4;4;3;1;4;2;2;3;4;4;4;4;4;4;40.93782256401774;24.39280516565987
235;POINT (13.425252814904752 42.3936046234135);7a3540be-2a94-4e28-b97a-297d2e588550;1;2;2;3;1;1;2;1;1;1;1;2;1;2;1;2;2;2;1;2;1;2;2;2;1;1;2;1;2;1;1;50.000 - 100.000;2;20K-30K;3;L'Aquila;Municipality (city/town);0.274552586234572;3;3;3;1;3;1;1;1;1;4;4;3;3;2;1;2;1;1;1;1;1;2;3;3;3;1;3;3;1;3;3;2;1;3;1;3;2;3;4;3;1;2;2;2;2;1;2;1;1;1;3;3;1;42.3936046234135;13.425252814904752
236;POINT (25.647402627242304 62.131125410906776);71fabd8c-0229-49f3-b878-18c89cba9e7c;3;3;2;4;2;3;3;2;4;4;4;4;3;4;4;4;3;4;4;4;4;4;2;4;3;2;4;3;3;4;0;100.000 - 250.000;3;30K-40K;4;Jyvaskyla;Municipality (city/town);0.515182380958729;2;1;3;1;1;1;1;1;3;1;1;3;4;4;3;4;4;3;4;4;4;4;2;2;3;2;4;3;1;3;1;2;3;4;1;1;2;1;3;2;4;3;1;2;3;2;4;3;2;3;1;3;3;62.131125410906776;25.647402627242304
237;POINT (23.8813305817504 61.629264680586594);4e97ed27-354f-412d-b216-170b728ed071;3;2;3;2;1;4;4;3;4;2;2;2;2;2;3;3;2;4;4;3;3;3;2;4;2;2;3;1;2;1;1;500.000 - 1.000.000;5;30K-40K;4;Tampere metropolitan area;Metropolitan Area;0.417223703833385;3;3;4;1;3;1;1;1;1;1;2;1;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;3;2;3;3;3;3;3;3;3;1;4;1;2;2;2;3;2;3;3;3;2;2;2;61.629264680586594;23.8813305817504
238;POINT (16.813973471052623 45.495108650635736);98b82f3f-7a33-477d-b246-f818a8e7a3a4;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;0; < 50.000;1;< 10K;1;Kutina;Municipality (city/town);0.132230902777777;3;3;3;1;1;1;1;1;1;3;2;3;3;3;1;4;3;3;3;4;2;3;2;2;3;3;2;2;3;3;1;4;1;1;1;1;1;3;1;2;2;2;1;1;3;1;2;2;1;2;3;1;1;45.495108650635736;16.813973471052623
239;POINT (-3.8918889503628957 40.522029478718984);a42bd6b5-a7e9-4cd2-9771-a6fbe4d8f13c;2;2;1;3;3;1;1;1;3;3;3;4;2;4;3;2;2;2;3;3;4;3;3;4;4;4;4;4;1;1;1;50.000 - 100.000;2;30K-40K;4;Las Rozas de Madrid;Municipality (city/town);0.409548797012492;3;3;3;1;1;3;4;3;3;4;2;3;3;4;3;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;2;4;4;4;3;2;1;3;3;4;4;4;4;3;4;4;3;4;3;2;3;4;40.522029478718984;-3.8918889503628957
