geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI
Point (9.36608073498707405 55.74241721283829065);faa8d5a3-8251-4120-89c6-a4c9720f527f;4;2;3;3;1;4;4;2;4;4;4;4;2;4;4;4;2;3;4;3;4;3;4;4;2;2;3;2;4;4;0;100.000 - 250.000;3;> 50K;6;Vejle;Municipality (city/town);0.52511054736499;1;1;4;1;3;1;1;1;3;1;3;1;1;3;1;4;1;2;4;2;1;4;4;2;4;2;3;4;3;3;2;4;1;3;1;4;3;4;1;2;1;3;4;1;4;1;4;1;3;3;3;1;2
Point (15.530768281553609 50.17944184612739633);6164262c-dcb4-4d4a-a1b7-75d1cdcf0bf3;1;1;2;1;2;1;2;1;3;1;1;1;1;1;2;2;4;1;3;3;2;2;3;1;1;1;2;3;1;1;0;100.000 - 250.000;3;10K-20K;2;Kosice;District/Parish/Ward;0.274138270158491;3;3;3;4;4;4;3;4;4;3;4;4;3;3;3;3;3;4;3;3;3;4;4;4;4;4;4;4;4;4;2;4;3;4;4;4;3;2;3;4;3;4;4;3;4;4;4;4;4;4;3;4;4
Point (23.58497196737652857 58.87038900207416958);b228dd24-9e3e-4785-b525-97aa56839555;2;3;4;3;2;2;3;1;3;1;1;1;1;1;1;3;2;1;4;2;1;2;2;1;2;1;1;4;3;1;0; < 50.000;1;10K-20K;2;Haapsalu;Municipality (city/town);0.273275794960078;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;3;3;2;1;1;4;4;4;2;4;4;4;4;4;4;4;4;4;4
Point (-21.98831395700603153 63.9751870258059796);6f223091-b79e-4ad9-9c74-e6645e43b3b1;3;3;4;2;3;3;2;3;3;2;3;3;4;2;1;2;2;3;1;1;2;2;3;3;2;3;2;2;2;1;0; < 50.000;1;> 50K;6;Hafnarfjorour;Municipality (city/town);0.383909176930777;3;3;2;3;3;4;1;1;4;1;1;1;1;2;2;2;3;3;2;2;2;1;2;2;2;2;2;2;1;2;1;4;2;2;4;3;4;1;2;3;2;1;3;1;3;2;1;3;2;3;1;1;1
Point (12.08266076925573884 50.89394009590573376);951bb469-16e1-4547-9722-e89e8b4e5396;2;2;2;2;3;2;2;3;1;2;2;2;3;3;2;1;2;1;1;1;2;3;2;2;3;3;1;4;1;1;1;50.000 - 100.000;2;20K-30K;3;Gera;Municipality (city/town);0.356372895101449;3;3;3;1;1;1;1;1;1;1;3;3;1;1;1;1;2;2;2;2;2;4;4;4;4;4;4;4;4;4;2;3;1;4;1;3;2;3;3;2;1;4;2;2;2;2;3;2;2;2;2;3;2
Point (-0.35975223190665045 39.41983806089648112);c64e23fb-00d3-41ff-baf7-c6ae08dc849f;4;4;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;2;3;2;3;3;4;3;3;4;3;4;1;500.000 - 1.000.000;5;20K-30K;3;Valencia;Municipality (city/town);0.575404195401208;1;1;1;4;3;4;4;4;3;4;4;3;4;3;3;4;3;4;4;3;3;1;2;2;2;3;2;2;2;2;2;4;4;3;4;4;3;4;4;4;3;2;4;3;3;3;3;4;3;4;3;4;4
Point (11.95474065126203023 57.73687028156015089);1278dc8c-3eea-4d13-973f-3ed7a2b65995;3;3;1;3;4;3;3;4;1;4;4;4;4;3;4;4;2;4;3;3;4;4;4;4;4;3;4;4;4;1;1;500.000 - 1.000.000;5;40K-50K;5;Goteborg;Municipality (city/town);0.510924608513763;2;1;3;3;1;4;1;1;1;1;3;1;3;2;4;4;4;3;4;4;4;3;3;4;1;1;1;1;1;1;2;4;3;2;3;4;4;1;1;2;4;1;2;2;3;4;3;3;3;4;2;2;3
Point (14.51290819869769066 35.89848679601935544);2e140a60-77ff-4354-a21a-fd065bcde34e;2;1;2;1;2;3;3;4;2;2;2;2;3;2;3;2;1;4;3;4;1;1;4;1;2;2;3;2;4;1;0;100.000 - 250.000;3;20K-30K;3;Valletta;Municipality (city/town);0.386555639094701;3;3;3;3;3;1;3;1;1;1;2;3;3;1;1;1;1;2;1;1;1;2;3;1;3;1;3;3;2;1;3;2;2;1;1;3;1;1;1;2;1;2;1;2;1;1;1;1;2;1;1;1;1
Point (17.30033017336882395 40.46349927360748922);9acc6b81-bd40-477b-b254-f9a650f04fcb;3;3;4;3;3;3;2;3;3;2;2;3;1;2;1;2;3;3;2;1;1;3;1;1;2;3;2;2;2;1;1;100.000 - 250.000;3;10K-20K;2;Taranto;Municipality (city/town);0.377383127646455;3;3;2;2;1;1;1;1;1;1;1;1;4;3;2;2;3;3;3;2;2;1;2;2;2;3;2;2;2;2;2;3;2;2;3;4;2;4;3;1;2;2;4;2;2;1;1;2;4;2;2;2;2
Point (15.03615495960065296 37.44211413219098716);7897d808-71ff-4210-ace1-32fc41da49a1;2;2;3;2;2;3;2;3;2;1;1;1;2;1;2;2;3;3;3;3;2;2;1;4;2;2;1;2;2;1;1;250.000 - 500.000;4;10K-20K;2;Catania;Municipality (city/town);0.321708480846042;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;3;3;4;3;4;2;3;2;2;2;1;2;4;4;1;4;1;1;4;4;3;2;4;4;3;4;4;3;4;2;3;4
