geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI
Point (15.36126425932263828 60.44857143581413084);fbc2cf37-379b-4644-af4b-b71984d536b5;4;4;1;4;3;4;4;4;4;3;2;1;2;3;3;4;3;4;4;3;2;2;3;3;4;4;4;3;4;1;0;50.000 - 100.000;2;30K-40K;4;Borlange;Municipality (city/town);0.482488866094871;4;4;1;2;1;1;1;1;1;1;1;1;1;4;1;4;4;1;1;4;1;2;3;3;1;1;3;3;2;3;3;2;2;1;1;3;2;1;3;1;2;2;1;1;2;1;3;3;1;1;1;1;1
Point (23.61039038418695313 46.78192976767667233);9e9d269e-38c5-4ec5-b7e9-afb3215d9bde;3;3;2;4;3;3;2;3;3;3;3;3;3;3;2;2;1;2;3;2;3;4;3;1;3;1;4;3;3;1;0;250.000 - 500.000;4;10K-20K;2;Cluj-Napoca;Municipality (city/town);0.435508938495918;3;3;2;2;3;1;3;4;3;3;3;3;3;4;4;3;3;3;2;3;3;4;4;4;4;4;4;4;3;4;1;2;1;1;4;1;1;3;4;3;3;4;1;1;3;3;3;4;3;2;3;4;3
Point (10.78508271591276824 52.41072960698843275);804557a9-8410-4256-9073-b84fac0b3034;1;3;2;2;4;1;1;1;1;2;2;2;2;3;2;1;2;1;1;1;3;2;4;4;3;3;1;4;1;1;1;100.000 - 250.000;3;> 50K;6;Wolfsburg;Municipality (city/town);0.316144329101591;3;3;3;3;3;3;1;1;3;3;2;3;1;2;1;1;2;2;2;1;2;3;2;2;2;2;3;2;1;3;3;3;2;2;3;2;4;1;2;3;1;2;2;2;3;1;1;2;2;3;1;2;1
Point (17.52338946553986077 59.12351476300865016);479d06eb-d57c-4404-b472-f0bd889bc3fc;3;3;3;4;1;3;4;1;2;4;4;2;3;4;3;3;3;3;3;3;3;3;2;4;2;2;3;1;3;1;0;50.000 - 100.000;2;> 50K;6;Sodertalje;Municipality (city/town);0.47140523040186;2;2;3;1;1;1;1;1;1;1;1;1;3;3;3;3;3;4;3;3;3;2;3;3;3;3;3;3;2;3;3;2;3;3;4;3;2;1;2;1;3;3;1;2;1;2;3;3;2;2;1;2;2
Point (-1.51983811874996388 52.41695461813783652);86896997-74a8-458a-abff-4fdaaa084296;3;3;2;4;3;3;4;2;2;4;4;3;3;4;4;3;2;1;3;4;4;4;4;3;4;3;4;3;3;4;1;250.000 - 500.000;4;30K-40K;4;Coventry;Municipality (city/town);0.505921636778255;2;4;2;3;3;4;1;1;3;4;3;3;4;4;4;1;1;3;2;2;1;1;3;1;1;1;3;1;2;1;2;3;2;2;4;4;4;3;2;3;2;1;3;2;4;3;1;1;3;3;2;1;2
Point (24.95056225979570996 60.31331274933808118);1d15416c-a530-4aa9-ae95-654886205796;3;3;3;4;2;2;2;2;3;2;3;3;1;3;2;2;4;3;1;1;3;3;1;4;3;3;3;2;1;1;0;100.000 - 250.000;3;> 50K;6;Vantaa;Municipality (city/town);0.397703763250638;3;3;2;1;1;1;1;1;1;1;1;1;4;3;3;3;3;4;3;4;4;2;3;3;3;1;3;3;2;3;4;1;1;1;1;1;1;4;4;1;3;2;3;4;1;2;2;2;2;2;3;4;2
Point (11.64914179843642827 44.8228726556333541);9d7979a3-5c92-4169-8a23-03924c6ed61e;1;2;3;2;2;1;1;1;1;1;1;2;1;3;1;1;1;2;2;2;1;1;1;2;1;3;1;1;1;1;1;100.000 - 250.000;3;20K-30K;3;Ferrara;Municipality (city/town);0.266729455440393;3;3;3;4;4;4;4;4;4;4;4;4;4;2;1;2;3;3;2;4;3;3;3;3;3;4;4;3;2;4;3;4;4;3;4;4;3;3;3;4;2;3;4;4;4;3;3;4;4;3;4;4;4
Point (33.62018592688257002 34.90138876113747557);7190f751-5775-4caf-8cdf-1336450676a4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;1;1;1;1;1;1;0;50.000 - 100.000;2;20K-30K;3;Larnaka ;Municipality (city/town);0.0833431161816578;3;3;3;4;4;4;4;1;4;4;4;4;4;4;3;3;4;3;4;4;3;2;3;3;3;1;1;3;2;3;3;3;3;3;4;1;3;2;3;4;4;2;2;3;4;3;3;3;2;4;3;3;4
Point (12.28237577854501872 45.48431497399026568);7c9f51c4-c7cd-4082-b0d7-c4245ebd41b6;4;4;4;2;4;4;2;4;4;3;3;3;2;2;2;4;4;4;3;1;2;3;1;4;2;3;1;3;2;4;1;250.000 - 500.000;4;30K-40K;4;Venice;Municipality (city/town);0.460788131343738;4;3;2;2;1;1;1;1;1;1;1;1;4;3;3;3;3;4;3;3;3;2;3;3;3;3;3;3;2;3;1;2;2;1;4;3;3;2;4;1;3;3;1;1;1;2;2;3;3;2;1;3;2
Point (9.08868982769205402 39.22498333113160385);bfd45f6e-fcd2-4058-beaa-10bb1459516e;1;2;1;1;4;1;1;3;2;2;3;3;4;1;2;2;2;1;2;2;3;3;2;4;2;2;2;2;1;1;1;500.000 - 1.000.000;5;20K-30K;3;Cagliari metropolitan area;Metropolitan Area;0.348281940741039;3;3;3;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;4;2;2;2;3;1;2;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1
Point (2.26471921909198937 48.82334005898803042);b2c828c9-eab1-4fcf-b9bd-d3326b636a21;3;4;4;4;3;3;3;2;2;3;3;2;4;2;3;3;4;4;2;3;2;1;4;4;3;4;3;3;2;1;1;50.000 - 100.000;2;> 50K;6;Issy-les-Moulineaux;Municipality (city/town);0.444017241405109;3;3;2;2;1;1;1;3;3;1;2;3;4;4;3;4;1;3;2;4;3;1;1;1;1;1;1;1;1;1;4;1;4;1;1;1;1;1;1;2;3;1;1;4;1;4;2;1;2;1;1;1;1
Point (-6.30642592359223642 52.74180994399639388);090ef376-3458-4f09-87f5-88b032f34f74;1;1;1;2;2;2;2;3;2;3;3;3;3;3;3;1;1;2;2;3;3;2;3;4;3;2;4;3;1;1;0;50.000 - 100.000;2;40K-50K;5;Limerick;Municipality (city/town);0.384884349157787;3;3;3;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;2;2;2;1;3;3;3;3;3;2;3;3;1;4;4;1;1;1;1;4;1;1;2;2;3;1;3;4;1;2;2;1;2;1;2
Point (11.24476204056909978 43.77986446676410281);d5cb6343-0240-40bd-9938-60226012ec5e;4;4;4;3;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;4;1;250.000 - 500.000;4;30K-40K;4;Florence;Municipality (city/town);0.606825562118301;1;1;1;2;1;1;1;1;4;1;3;1;1;1;4;1;1;3;1;1;1;1;2;2;2;2;2;1;1;2;3;1;1;1;1;4;2;3;2;2;1;1;1;2;1;2;1;1;4;1;1;1;1
Point (23.63607626139124207 46.06199481645769112);3a944472-1952-43c3-8f23-11afd5b49c40;3;2;2;4;1;4;2;4;4;1;1;2;1;1;2;3;4;4;4;3;2;2;4;2;1;1;3;1;3;1;0; < 50.000;1;10K-20K;2;Ciugud;Municipality (city/town);0.35502342372134;3;3;4;1;1;1;1;1;1;1;3;1;1;2;1;2;3;3;1;1;1;2;3;3;3;1;1;3;2;3;1;2;3;3;1;1;3;1;4;1;1;2;1;1;1;1;2;2;1;2;1;2;1
Point (18.05278775860276852 53.13112909607492895);e0db3b18-0c1c-4e63-8448-6ec552af3eb7;2;2;2;3;2;2;2;3;2;2;2;2;2;3;1;2;2;3;3;1;1;1;1;4;1;1;2;2;2;1;1;250.000 - 500.000;4;10K-20K;2;Bydgoszcz;Municipality (city/town);0.353830129310369;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;3;4;4;4;4;3;3;1;2;3;3;3;3;3;2;2;1;1;3;1;1;1;1;3;2;1;2;1;1;1
Point (-9.70475413738653536 52.26752451550925826);f6fc5775-6d6d-4df2-a58c-1370f177c468;1;1;1;1;1;2;2;1;2;2;2;3;2;1;3;1;1;1;2;4;3;3;3;3;2;2;3;1;2;1;0;100.000 - 250.000;3;> 50K;6;Kerry County;County/Province;0.308496899801587;3;3;3;1;1;3;1;1;4;1;3;3;4;3;2;1;1;1;1;3;3;2;2;2;2;2;2;2;3;3;3;2;3;3;1;1;2;2;4;2;1;2;1;2;1;1;1;1;2;1;2;3;1
Point (14.03898024832280633 50.65856171149727771);b1c75c81-1e47-44f8-bec3-b828e37321ee;2;1;2;3;1;3;3;3;2;1;1;1;1;1;1;1;1;2;2;3;2;1;4;2;1;1;3;1;1;1;0;50.000 - 100.000;2;10K-20K;2;Usti nad Labem;Municipality (city/town);0.29467514690171;3;3;3;1;1;1;1;1;4;1;3;1;4;4;3;4;4;2;2;3;4;4;4;4;3;2;4;3;3;3;1;2;2;2;1;4;4;3;1;2;4;3;2;3;3;2;3;3;4;3;3;3;3
Point (-8.46957810481857898 51.89800425471536727);5aa652e5-c283-416b-91fb-4f8229cf238f;3;3;3;3;2;4;3;4;2;4;4;4;4;4;3;2;1;3;1;4;3;4;2;2;2;3;3;1;2;4;1;100.000 - 250.000;3;> 50K;6;Cork;Municipality (city/town);0.538826078146391;2;2;4;3;4;4;4;4;3;3;4;4;4;3;4;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Point (11.3337246477417235 44.49786300127177441);f50ba5de-64d2-4c77-9abe-d7ac1b24d4c6;4;4;4;2;4;4;3;4;4;2;2;2;3;2;3;4;4;4;4;2;3;2;3;4;3;4;2;3;3;1;1;250.000 - 500.000;4;40K-50K;5;Bologna;Municipality (city/town);0.441975304651775;4;3;2;1;1;1;1;1;1;1;3;1;3;1;1;1;2;2;1;1;1;3;2;2;2;2;2;2;1;2;4;1;1;1;1;1;1;1;1;2;1;1;1;3;1;1;1;1;1;1;1;1;1
Point (26.6771021809762594 47.7440542856585779);6c707420-eb86-4395-965d-112884fb58f4;1;1;2;1;1;2;2;1;4;1;1;2;1;2;2;2;2;3;1;3;1;3;2;1;1;1;1;1;2;1;1;100.000 - 250.000;3;< 10K;1;Botosani;Municipality (city/town);0.279177703509046;3;3;3;4;4;4;4;1;3;1;1;1;1;1;2;1;1;1;1;1;1;4;4;4;4;4;2;4;4;4;3;3;3;4;1;2;2;4;4;3;1;4;4;3;3;3;4;2;1;1;3;3;3
Point (14.43018372495964385 45.34452396560099885);04aedc7e-7f28-4129-bb0e-5671b84e7e8f;3;2;2;2;2;3;2;4;4;2;2;3;2;2;1;3;4;3;2;1;3;3;3;3;2;3;3;1;2;1;1;100.000 - 250.000;3;10K-20K;2;Rijeka;Municipality (city/town);0.377117632469654;3;3;3;1;4;3;4;1;4;1;4;3;4;3;4;3;1;4;2;4;3;3;4;4;3;3;4;2;4;4;1;4;1;1;1;1;2;3;4;4;3;4;2;2;4;3;3;1;4;2;4;4;4
Point (16.00004430105417796 45.80998213450245515);f3e0eb0b-4a26-4fbd-af5d-d18448e3769b;2;2;2;3;1;3;2;3;3;3;3;4;3;3;2;2;2;1;3;1;2;1;3;4;2;4;2;1;2;1;1;500.000 - 1.000.000;5;20K-30K;3;Zagreb;Municipality (city/town);0.395477818596844;3;3;3;2;3;4;1;1;3;3;2;3;3;3;1;4;1;1;2;1;1;2;1;3;1;1;1;1;1;3;3;2;4;2;3;3;2;1;2;2;1;1;1;2;1;3;2;1;1;1;1;1;1
Point (17.36443280565197256 48.67790313981247863);986af195-2a11-41f0-8e0d-7622324422ae;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;2;1;2;2;2;2;1;1;1;1;2;1;0; < 50.000;1;10K-20K;2;Senica;Municipality (city/town);0.198646769783412;3;3;3;3;3;1;1;3;3;3;3;1;3;3;4;1;3;3;4;3;1;4;2;2;2;2;2;3;3;2;4;4;1;1;1;3;4;1;1;2;2;2;2;4;3;2;1;2;2;4;2;1;2
Point (27.58981858999076664 47.15726280947223614);92368062-582b-443b-9358-f664c113f8a0;3;3;3;4;2;3;2;4;3;4;4;4;3;4;3;3;2;3;4;2;3;4;2;2;3;4;4;1;2;1;1;250.000 - 500.000;4;< 10K;1;Iasi;Municipality (city/town);0.499933809070604;2;2;2;3;1;1;4;4;4;3;2;3;3;2;2;2;3;4;2;4;1;1;1;1;1;1;1;1;1;1;2;2;4;3;3;3;2;3;4;3;2;1;4;1;1;2;2;3;3;2;2;2;2
Point (2.92521146662940756 51.20969399754846307);05977b9b-7362-4c1d-8c73-0a1b806770d7;2;1;2;1;1;2;2;3;2;2;2;3;2;2;1;2;3;2;2;1;2;1;2;4;1;1;2;1;3;1;1;50.000 - 100.000;2;30K-40K;4;Oostende;Municipality (city/town);0.323208343552554;3;3;3;3;4;3;4;3;4;3;4;4;3;3;2;3;3;4;3;3;3;1;2;2;2;3;2;2;2;2;4;1;4;3;1;1;3;4;4;4;3;1;4;3;1;3;3;2;3;2;4;4;3
Point (14.48014331197661342 48.98051506831918545);fe7d07aa-bbd4-42a8-bcb9-e5f89dfe564c;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;3;1;1;1;3;3;1;0;50.000 - 100.000;2;10K-20K;2;Ceske Budejovice;Municipality (city/town);0.188678695436508;3;3;3;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;2;1;4;4;4;4;4;4;4;4;4;4;4;4;3;4
Point (13.33050231243954542 38.13067025578796176);33a38f46-129c-49be-a964-febeeb40cde2;3;4;4;3;4;2;3;2;3;2;2;2;2;3;3;3;2;3;4;3;1;2;2;1;4;4;2;4;4;1;1;500.000 - 1.000.000;5;10K-20K;2;Palermo;Municipality (city/town);0.420586695694691;3;3;2;3;3;3;1;1;4;3;3;1;4;2;2;1;3;1;2;4;2;4;4;3;4;4;4;4;4;4;4;2;3;3;4;3;3;3;1;3;2;4;3;4;2;3;1;4;3;3;4;2;3
Point (2.15109082027927112 41.40107731450914486);bd175094-b53f-4067-9eab-465ea06a948c;4;4;2;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;1; > 1.000.000;6;30K-40K;4;Barcelona;Municipality (city/town);0.624190330400808;1;1;1;2;4;4;1;3;3;4;4;1;4;4;4;4;4;4;4;4;4;1;2;2;2;2;2;2;2;2;3;2;3;2;3;3;3;3;2;3;4;2;1;3;3;3;2;3;3;3;3;2;3
Point (16.56699403717444241 59.62823516030434234);1a1892d9-3e79-4db8-968b-270ca8438da1;2;2;2;2;2;2;4;1;2;3;4;3;3;4;3;1;1;1;1;4;2;3;2;3;3;3;3;3;2;1;0;100.000 - 250.000;3;30K-40K;4;Vasteras;Municipality (city/town);0.42127710946461;3;2;3;4;3;1;4;1;4;4;3;1;4;4;4;3;1;2;1;2;1;4;2;2;4;2;4;2;1;2;3;1;1;2;3;1;2;1;1;3;2;2;1;4;2;2;3;1;2;1;1;1;1
Point (12.23514889832542352 44.13042779888753131);a5c287c5-0ac6-4a47-82ab-9c8f16943e9f;2;2;3;1;2;2;2;2;3;3;3;3;4;2;2;3;4;1;3;3;2;2;2;3;1;2;2;1;3;1;1;50.000 - 100.000;2;30K-40K;4;Cesena;Municipality (city/town);0.374757541240078;3;3;3;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;4;2;4;2;4;4;4;2;4;4;4;4;4;4;4;4;4;4
Point (18.43887496831930406 49.78569139906324637);1e68a27a-85e7-4222-80a4-991d3c22fe89;1;1;2;1;1;1;1;3;1;1;1;2;1;2;1;1;1;1;1;1;2;2;2;3;1;1;3;1;1;1;0;50.000 - 100.000;2;10K-20K;2;Havirov;Municipality (city/town);0.246858461272524;3;3;3;1;3;1;1;1;1;1;2;3;3;4;1;3;3;3;3;4;3;2;1;2;3;3;3;3;3;3;2;3;3;3;3;3;2;3;2;1;3;2;1;1;3;1;2;3;2;2;2;2;2
Point (-7.25956511331126908 52.65065908410193174);8d7970b9-0192-443f-ac57-6fa59a370aaf;1;1;1;1;2;1;2;1;2;1;1;1;2;1;1;1;1;3;1;2;1;1;2;4;2;2;1;2;2;1;0; < 50.000;1;40K-50K;5;Kilkenny;Municipality (city/town);0.238314398275336;3;3;3;4;3;1;1;1;1;1;1;1;3;3;4;3;3;4;3;3;3;4;2;3;3;4;3;4;3;3;3;4;2;2;3;3;2;1;2;2;3;3;1;4;3;3;2;3;3;2;1;2;3
Point (-0.34971557671166331 43.32007262665704417);bcb3f1ab-d2ba-467b-8b3e-59d7a6b838a4;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;1;1;1;3;1;1;1;1;3;1;2;2;1;2;1;1;50.000 - 100.000;2;30K-40K;4;Pau;Municipality (city/town);0.216544955334018;3;3;3;1;1;1;1;1;1;1;1;1;3;1;3;3;3;1;3;3;3;1;3;2;2;2;2;2;3;2;3;1;4;3;3;1;1;1;1;1;2;2;1;2;1;3;3;2;1;1;1;1;1
Point (-7.35978805226731847 54.8202557146690026);2226891c-2b8e-41f7-a89a-d4959c449b60;4;2;3;2;2;4;4;4;3;4;4;4;4;4;4;4;3;4;3;3;4;4;3;3;3;4;4;2;3;4;1;100.000 - 250.000;3;20K-30K;3;Derry;Municipality (city/town);0.549090126609275;1;1;4;1;1;1;1;4;1;4;4;1;1;1;1;1;1;1;1;4;4;2;2;2;2;4;2;2;3;2;1;4;4;1;1;1;2;3;1;4;1;2;3;1;2;3;1;4;1;1;4;3;2
Point (-21.7190574022530356 64.16871533162905905);37199a73-7e3b-4a00-b211-4428805cfb26;4;4;3;3;4;3;3;4;3;4;4;4;4;3;3;2;2;3;3;2;4;4;4;4;3;3;2;4;2;1;1;100.000 - 250.000;3;> 50K;6;Reykjavik;Municipality (city/town);0.510929201466426;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;4;4;1;1;1;3;1;1;1;1;1;1;1;1;2;1
Point (13.37269614032537035 49.74023903710551764);772158b5-eabc-448f-b4b1-895674779333;4;4;4;4;4;4;4;4;3;4;4;3;4;3;4;4;2;4;3;4;2;2;2;3;3;4;3;2;3;4;1;100.000 - 250.000;3;10K-20K;2;Pilsen;Municipality (city/town);0.590687308827474;1;1;1;1;1;1;1;1;1;1;1;1;3;2;3;3;3;1;1;3;2;4;4;4;3;2;2;2;3;4;1;1;4;1;1;1;1;3;4;1;2;3;3;1;1;4;2;2;1;1;2;4;2
Point (18.73507889806903748 48.70159466569841555);b1fd8b06-fa1d-4418-a7d1-3e113d4194cb;1;1;1;1;1;1;1;3;1;1;1;2;1;2;1;3;3;1;3;1;2;3;2;2;1;1;1;1;4;1;0; < 50.000;1;10K-20K;2;Handlova;Municipality (city/town);0.217187061304708;3;3;3;4;4;4;4;1;4;4;3;4;1;2;3;2;3;3;3;3;3;1;3;3;3;3;2;2;1;2;1;4;1;4;1;1;4;1;1;4;2;2;3;1;4;3;4;2;2;4;1;2;3
Point (21.59947612697592234 57.40533421696489569);ee0f550f-05ad-4067-b109-61e5e5c41e02;3;4;4;3;4;3;2;2;4;4;4;4;4;4;4;3;4;3;4;3;4;4;1;4;4;3;3;4;3;1;0; < 50.000;1;10K-20K;2;Ventspils;Municipality (city/town);0.511475076422534;2;1;2;1;3;1;1;1;1;1;2;3;1;2;1;1;3;2;1;2;2;1;2;2;2;2;2;2;2;3;1;4;1;4;1;1;1;1;4;1;1;1;3;1;3;1;3;2;1;1;1;4;1
Point (26.61914003981052446 58.38778877673095025);40653997-270d-47ab-a4ef-3e3e6757b17c;4;2;4;4;1;4;4;4;4;3;3;3;2;2;4;4;4;3;4;3;4;4;4;4;2;2;3;2;3;4;0;50.000 - 100.000;2;10K-20K;2;Tartu;Municipality (city/town);0.512775737045498;4;4;4;2;1;1;1;4;3;3;3;1;3;3;4;3;3;4;3;3;3;4;4;4;4;4;4;4;4;4;3;2;3;4;4;3;2;1;3;3;3;4;3;3;3;3;4;4;4;3;2;3;4
Point (13.83829450866680943 45.50971959958994972);dbf50ed1-878f-40bb-872f-32415e4b628d;3;3;3;3;3;2;3;2;2;3;2;2;3;3;3;1;1;2;3;4;2;2;3;4;3;4;3;3;2;1;0;50.000 - 100.000;2;20K-30K;3;Koper;Municipality (city/town);0.41454543883971;3;3;2;4;4;4;4;4;4;4;4;4;3;3;4;4;3;4;3;4;3;2;3;3;3;3;3;3;2;3;2;1;4;4;3;1;1;2;4;4;3;3;2;3;2;4;4;3;4;3;3;4;4
Point (0.13294078308871252 52.19935762699313386);84a959d6-2756-433a-a1e7-22d5fc2043fa;4;3;3;4;2;4;4;3;4;3;3;3;3;3;3;3;4;4;1;4;3;4;3;2;2;1;3;2;3;4;1;500.000 - 1.000.000;5;30K-40K;4;Cambridge metropolitan area;Metropolitan Area;0.522267004169578;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;2;3;3;4;3;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1
Point (15.84357861018852276 50.207994590482663);9bc3b0ef-77da-4ad5-82ea-839fe4792000;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;1;1;1;2;1;2;1;1;1;1;0;50.000 - 100.000;2;10K-20K;2;Hradec Kralove;Municipality (city/town);0.195009540007243;3;3;3;4;3;3;4;1;4;3;4;1;4;2;4;4;3;3;4;3;2;2;3;3;3;1;3;3;2;1;2;3;1;1;1;1;4;2;1;4;3;2;2;3;3;2;4;2;2;4;3;1;3
Point (22.49293818569158532 58.37762377187802798);ea25509f-7b86-4d22-85e0-c95fbb3e17f3;2;3;4;1;3;2;4;1;2;2;2;2;4;2;2;1;1;1;2;4;2;2;3;2;2;1;1;4;1;1;0; < 50.000;1;10K-20K;2;Saaremaa;Municipality (city/town);0.367857807219786;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;2;3;3;3;3;3;4;1;3;1;2;2;1;4;1;1;2;2;1;2;1;1;1;1;1;1;2;1
Point (19.9849858397655531 50.05317644729488791);b242055f-790e-41bf-a3ae-bed1c196244f;3;2;2;1;3;4;2;4;4;3;3;2;3;3;3;3;3;3;3;3;3;2;3;4;4;4;2;4;3;1;1;500.000 - 1.000.000;5;20K-30K;3;Krakow;Municipality (city/town);0.43659757410799;3;3;4;4;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;3;1;1;1;2;2;2;1;2;3;1;1;4;1;1;1;1;1;2;4;1;1;4;1;2;3;3;2;2;1;2;2
Point (26.61914003981052446 58.38778877673095025);073bc5a7-536c-487d-95b1-6b8b10db8598;4;3;4;4;2;4;4;3;4;4;4;4;4;3;4;4;4;4;3;3;4;3;4;4;2;3;3;1;4;4;0;50.000 - 100.000;2;10K-20K;2;Tartu;Municipality (city/town);0.5705202848792;1;1;1;2;3;1;1;1;3;3;2;3;3;2;3;2;3;3;4;3;3;3;3;3;3;4;4;3;3;4;3;2;3;3;3;3;3;2;3;2;3;3;2;2;2;2;2;3;3;3;2;3;2
Point (22.49293818569158532 58.37762377187802798);e327b54f-b9bf-4eb3-869e-51725de5a626;2;2;3;2;2;3;3;2;3;2;1;1;4;1;3;4;3;3;3;3;3;3;3;3;2;2;2;3;3;4;0; < 50.000;1;10K-20K;2;Saaremaa;Municipality (city/town);0.36671568727206;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;3;4;4;2;4;2;4;4;2;4;2;4;2;4;4;3;4;4;4;4;3;4;4;3;4;3;4;4;4;4;4;4
Point (15.62765329162769312 46.56318254678024715);979b772a-3855-4bf8-9db6-59dc02548aba;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;3;1;1;1;1;1;2;2;1;1;1;2;2;1;0;100.000 - 250.000;3;10K-20K;2;Maribor;Municipality (city/town);0.163503784563067;3;3;3;3;4;4;4;4;4;4;3;3;4;3;3;4;2;1;1;4;4;3;3;3;3;4;2;3;4;4;3;1;4;2;3;1;2;2;2;4;3;3;1;4;2;4;3;3;1;2;3;3;3
Point (9.172879515579762 45.46849377011358229);5a885880-7909-4913-811e-8264deba3673;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;3;3;4;1;1; > 1.000.000;6;> 50K;6;Milano;Municipality (city/town);0.607444047425206;1;1;1;1;3;4;1;1;4;4;3;1;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;2;4;1;1;4;3;4;1;3;4;4;4;4;3;4;3;3;4;4;4;3;4
Point (-9.13534469054989451 38.71205323597419579);5b5dc9a6-4c01-44e3-bb2f-f377daa6beec;4;4;4;4;4;4;4;4;2;4;3;4;3;3;4;4;4;4;4;4;3;2;3;3;4;2;4;3;4;4;1;500.000 - 1.000.000;5;20K-30K;3;Lisbon;Municipality (city/town);0.558167755923271;1;4;1;4;3;3;4;4;1;4;2;1;3;3;4;4;3;1;3;4;1;1;3;3;3;3;1;3;2;1;3;2;1;4;4;1;4;1;1;3;2;2;2;2;2;2;4;3;1;4;1;1;2
Point (15.19395148298805154 45.78093983933192845);8d7f65fb-c7cf-4245-aa5c-c0ea4f21b3d4;4;3;3;3;4;4;3;4;4;3;3;3;2;3;3;4;2;4;3;3;2;3;2;2;3;3;3;3;4;4;0; < 50.000;1;20K-30K;3;Novo mesto;Municipality (city/town);0.505875671220799;4;3;1;2;3;3;3;4;4;3;3;3;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;4;1;1;4;1;1;1;4;3;4;1;3;1;4;2;2;4;3;2;1;4;3
Point (14.56293656149277638 46.05424771335781031);dc770a9a-2acd-4a0a-a9c8-5b609421bd81;3;3;4;3;2;3;3;3;4;3;3;4;3;2;4;4;3;3;4;4;3;4;3;3;3;2;4;3;4;4;1;250.000 - 500.000;4;30K-40K;4;Ljubljana;Municipality (city/town);0.484535395081045;3;4;2;1;1;1;1;1;1;1;2;1;3;3;2;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;4;1;4;1;1;1;1;4;1;1;2;1;3;3;1;3;1;1;1;1;2;1;1
